lockNumber,numStoppages,totalHrs,avgHrs,volWeight,weightSource,severityScore,priorityRank,lockLabel,estCostM,weeklyTons,freightCostPerHr,totalFreightCostK,dollarRoi,dollarRoiRank,roi,roiRank
16,3,480.0,160.0,0.55,position estimate,1341.4907523558982,1,lock 16,80.0,209749.94076433123,-85.39822394780144,-40.99114749494469,-0.5123893436868087,18,16.768634404448726,4
12,1,360.0,360.0,0.6,position estimate,1271.9976389999022,2,lock 12,100.0,228818.11719745223,-93.16169885214701,-33.538211586772924,-0.33538211586772926,14,12.719976389999022,7
17,2,432.0,216.0,0.5,position estimate,1162.0578283647394,3,lock 17,80.0,190681.7643312102,-77.63474904345586,-33.53821158677293,-0.41922764483466163,17,14.525722854559243,6
08,16,456.0,28.5,0.55,position estimate,848.8050780471202,4,lock 08,15.0,209749.94076433123,-85.39822394780144,-38.94159012019745,-2.5961060080131637,23,56.587005203141345,1
06,6,312.0,52.0,0.45,position estimate,557.428984662718,5,lock 06,20.0,171613.58789808917,-69.87127413911026,-21.799837531402403,-1.0899918765701202,22,27.8714492331359,2
11,1,216.0,216.0,0.4,position estimate,464.8231313458958,6,lock 11,80.0,152545.41146496817,-62.107799234764684,-13.415284634709172,-0.16769105793386466,12,5.810289141823697,11
10,2,240.0,120.0,0.4,position estimate,460.39589237728717,7,lock 10,40.0,152545.41146496817,-62.107799234764684,-14.905871816343524,-0.3726467954085881,15,11.50989730943218,8
07,9,216.0,24.0,0.45,position estimate,312.8747301771891,8,lock 07,15.0,171613.58789808917,-69.87127413911026,-15.092195214047814,-1.0061463476031876,21,20.858315345145943,3
05,8,192.0,24.0,0.4,position estimate,247.20966334987784,9,lock 05,15.0,152545.41146496817,-62.107799234764684,-11.924697453074819,-0.7949798302049879,20,16.48064422332519,5
02,4,120.0,30.0,0.45,position estimate,185.4353090421979,10,lock 02,20.0,171613.58789808917,-69.87127413911026,-8.384552896693231,-0.4192276448346616,16,9.271765452109895,10
25,6,144.0,24.0,0.35,position estimate,162.2313415733573,11,lock 25,50.0,133477.23503184714,-54.3443243304191,-7.82558270358035,-0.156511654071607,10,3.244626831467146,14
04,6,144.0,24.0,0.35,position estimate,162.2313415733573,11,lock 04,15.0,133477.23503184714,-54.3443243304191,-7.82558270358035,-0.5217055135720233,19,10.815422771557154,9
09,3,72.0,24.0,0.4,position estimate,92.70362375620418,13,lock 09,25.0,152545.41146496817,-62.107799234764684,-4.471761544903058,-0.17887046179612232,13,3.708144950248167,12
24,3,72.0,24.0,0.35,position estimate,81.11567078667865,14,lock 24,25.0,133477.23503184714,-54.3443243304191,-3.912791351790175,-0.156511654071607,10,3.244626831467146,14
15,3,72.0,24.0,0.35,position estimate,81.11567078667865,14,lock 15,25.0,133477.23503184714,-54.3443243304191,-3.912791351790175,-0.156511654071607,10,3.244626831467146,14
27,1,24.0,24.0,1.0,gtr data,77.25301979683681,16,lock 27,60.0,381363.5286624204,-155.2694980869117,-3.726467954085881,-0.062107799234764685,5,1.2875503299472801,19
26,2,48.0,24.0,0.35,position estimate,54.07711385778576,17,lock 26,20.0,133477.23503184714,-54.3443243304191,-2.6085275678601163,-0.1304263783930058,8,2.703855692889288,16
13,2,48.0,24.0,0.35,position estimate,54.07711385778576,17,lock 13,25.0,133477.23503184714,-54.3443243304191,-2.6085275678601163,-0.10434110271440465,7,2.1630845543114305,17
22,2,48.0,24.0,0.3,position estimate,46.35181187810208,19,lock 22,25.0,114409.05859872611,-46.580849426073506,-2.2358807724515284,-0.08943523089806113,6,1.8540724751240834,18
18,1,24.0,24.0,0.35,position estimate,27.03855692889288,20,lock 18,25.0,133477.23503184714,-54.3443243304191,-1.3042637839300582,-0.052170551357202326,3,1.0815422771557153,20
03,1,24.0,24.0,0.35,position estimate,27.03855692889288,20,lock 03,25.0,133477.23503184714,-54.3443243304191,-1.3042637839300582,-0.052170551357202326,3,1.0815422771557153,20
21,1,24.0,24.0,0.3,position estimate,23.17590593905104,22,lock 21,25.0,114409.05859872611,-46.580849426073506,-1.1179403862257642,-0.044717615449030565,1,0.9270362375620417,22
14,1,24.0,24.0,0.3,position estimate,23.17590593905104,22,lock 14,25.0,114409.05859872611,-46.580849426073506,-1.1179403862257642,-0.044717615449030565,1,0.9270362375620417,22
