date_x,illRate,stlRate,memRate,weekStart,date_y,lock27,lock52,lock1,cornLock27,soyLock27,wheatLock27,lock27Kt,year,week,month,stoppageHrs,hasStoppage
2010-01-05,380.0,271.6666666666667,233.33333333333334,2010-01-04,2010-01-09,137700,118510,39200,92800,38900,1500.0,137.7,2010,1,1,0.0,False
2010-01-12,386.25,261.25,227.5,2010-01-11,2010-01-16,128248,290926,44800,66800,47548,13900.0,128.248,2010,2,1,0.0,False
2010-01-19,391.25,290.0,251.25,2010-01-18,2010-01-23,324366,284850,36400,163978,143188,4800.0,324.366,2010,3,1,0.0,False
2010-01-26,410.0,306.6666666666667,253.33333333333334,2010-01-25,2010-01-30,308918,292400,42100,195170,107348,6400.0,308.918,2010,4,1,0.0,False
2010-02-02,400.0,305.0,258.75,2010-02-01,2010-02-06,309800,310581,71400,160300,103000,39000.0,309.8,2010,5,2,0.0,False
2010-02-09,358.0,258.0,237.0,2010-02-08,2010-02-13,340400,278393,57400,191200,133600,15600.0,340.4,2010,6,2,0.0,False
2010-02-16,305.0,215.0,198.0,2010-02-15,2010-02-20,249782,248600,50400,154772,91438,3572.0,249.782,2010,7,2,0.0,False
2010-02-23,317.0,215.0,192.0,2010-02-22,2010-02-27,374278,168000,43600,250454,120724,3100.0,374.278,2010,8,2,0.0,False
2010-03-02,345.0,262.0,228.75,2010-03-01,2010-03-06,521399,181650,51800,399777,115322,6300.0,521.399,2010,9,3,0.0,False
2010-03-09,312.5,227.5,202.5,2010-03-08,2010-03-13,462950,370400,43800,390850,68900,3200.0,462.95,2010,10,3,0.0,False
2010-03-16,282.5,200.0,186.25,2010-03-15,2010-03-20,189156,247821,31800,129778,57878,1500.0,189.156,2010,11,3,0.0,False
2010-03-23,276.6666666666667,196.66666666666666,181.66666666666666,2010-03-22,2010-03-27,233126,252610,46400,162626,65700,4800.0,233.126,2010,12,3,0.0,False
2010-03-30,276.25,198.75,181.25,2010-03-29,2010-04-03,334620,160711,37200,260470,74150,0.0,334.62,2010,13,3,0.0,False
2010-04-06,275.0,198.75,180.0,2010-04-05,2010-04-10,230650,196235,35000,189150,41500,0.0,230.65,2010,14,4,0.0,False
2010-04-13,275.0,197.5,180.0,2010-04-12,2010-04-17,354056,133650,15600,284616,64640,4800.0,354.056,2010,15,4,0.0,False
2010-04-20,275.0,193.33333333333334,181.66666666666666,2010-04-19,2010-04-24,496954,89350,23200,417579,55500,23875.0,496.954,2010,16,4,0.0,False
2010-04-27,308.3333333333333,198.33333333333334,180.0,2010-04-26,2010-05-01,403580,93550,18200,336380,59300,7900.0,403.58,2010,17,4,0.0,False
2010-05-04,340.0,241.66666666666666,210.0,2010-05-03,2010-05-08,671418,156980,26600,525167,127907,7744.0,671.418,2010,18,5,0.0,False
2010-05-11,382.5,273.75,233.75,2010-05-10,2010-05-15,675920,108750,22400,559400,96320,17200.0,675.92,2010,19,5,0.0,False
2010-05-18,416.6666666666667,300.0,276.6666666666667,2010-05-17,2010-05-22,639303,95450,29800,537098,95965,6240.0,639.303,2010,20,5,0.0,False
2010-05-25,337.5,230.0,220.0,2010-05-24,2010-05-29,771839,106150,23800,708018,52781,9540.0,771.839,2010,21,5,0.0,False
2010-06-01,314.0,216.0,199.0,2010-05-31,2010-06-05,613789,145450,27200,540796,66693,6300.0,613.789,2010,22,5,0.0,False
2010-06-08,293.75,198.75,188.75,2010-06-07,2010-06-12,689643,47976,23800,577303,93720,13700.0,689.643,2010,23,6,0.0,False
2010-06-15,298.75,201.25,190.0,2010-06-14,2010-06-19,696242,83900,36500,580624,101745,13873.0,696.242,2010,24,6,0.0,False
2010-06-22,298.3333333333333,200.0,190.0,2010-06-21,2010-06-26,595016,46400,47200,542616,44800,6000.0,595.016,2010,25,6,0.0,False
2010-06-29,296.0,200.0,190.0,2010-06-28,2010-07-03,683565,60900,42300,550025,132040,0.0,683.565,2010,26,6,0.0,False
2010-07-06,325.0,224.0,203.0,2010-07-05,2010-07-10,590728,58018,30000,474502,108486,7740.0,590.728,2010,27,7,0.0,False
2010-07-13,387.5,293.75,267.5,2010-07-12,2010-07-17,700966,64750,25200,599164,81702,10700.0,700.966,2010,28,7,0.0,False
2010-07-20,425.0,325.0,313.75,2010-07-19,2010-07-24,760293,94150,16800,671393,71900,7800.0,760.293,2010,29,7,0.0,False
2010-07-27,388.3333333333333,298.3333333333333,290.0,2010-07-26,2010-07-31,652691,128400,32100,546419,103072,3200.0,652.691,2010,30,7,0.0,False
2010-08-03,371.25,296.25,288.75,2010-08-02,2010-08-07,633903,59710,32400,531341,94962,7600.0,633.903,2010,31,8,0.0,False
2010-08-10,433.0,377.0,375.0,2010-08-09,2010-08-14,625898,31568,25300,520481,91617,4500.0,625.898,2010,32,8,0.0,False
2010-08-17,437.0,392.0,392.0,2010-08-16,2010-08-21,340987,27364,42000,231330,95405,9411.0,340.987,2010,33,8,0.0,False
2010-08-24,456.25,450.0,437.5,2010-08-23,2010-08-28,283748,61274,34000,236538,31710,7700.0,283.748,2010,34,8,0.0,False
2010-08-31,506.25,525.0,500.0,2010-08-30,2010-09-04,366109,108052,22800,312128,41500,12481.0,366.109,2010,35,8,0.0,False
2010-09-07,495.0,506.25,487.5,2010-09-06,2010-09-11,341168,117750,36400,294441,29527,10800.0,341.168,2010,36,9,0.0,False
