lockNumber,numStoppages,totalHrs,avgHrs,volWeight,weightSource,severityScore,priorityRank,lockLabel,estCostM,weeklyTons,freightCostPerHr,totalFreightCostK,dollarRoi,dollarRoiRank,roi,roiRank
16,3,480.0,160.0,0.55,position estimate,1341.4907523558982,1,lock 16,80.0,209749.94076433123,-85.39822394780384,-40.99114749494584,-0.512389343686823,18,16.768634404448726,4
12,1,360.0,360.0,0.6,position estimate,1271.9976389999022,2,lock 12,100.0,228818.11719745223,-93.16169885214963,-33.53821158677387,-0.3353821158677387,14,12.719976389999022,7
17,2,432.0,216.0,0.5,position estimate,1162.0578283647394,3,lock 17,80.0,190681.7643312102,-77.63474904345803,-33.53821158677387,-0.41922764483467334,17,14.525722854559243,6
08,16,456.0,28.5,0.55,position estimate,848.8050780471202,4,lock 08,15.0,209749.94076433123,-85.39822394780384,-38.941590120198555,-2.596106008013237,23,56.587005203141345,1
06,6,312.0,52.0,0.45,position estimate,557.428984662718,5,lock 06,20.0,171613.58789808917,-69.87127413911222,-21.799837531403014,-1.0899918765701506,22,27.8714492331359,2
11,1,216.0,216.0,0.4,position estimate,464.8231313458958,6,lock 11,80.0,152545.41146496817,-62.10779923476643,-13.415284634709549,-0.16769105793386935,12,5.810289141823697,11
10,2,240.0,120.0,0.4,position estimate,460.39589237728717,7,lock 10,40.0,152545.41146496817,-62.10779923476643,-14.905871816343945,-0.37264679540859863,15,11.50989730943218,8
07,9,216.0,24.0,0.45,position estimate,312.8747301771891,8,lock 07,15.0,171613.58789808917,-69.87127413911222,-15.092195214048239,-1.006146347603216,21,20.858315345145943,3
05,8,192.0,24.0,0.4,position estimate,247.20966334987784,9,lock 05,15.0,152545.41146496817,-62.10779923476643,-11.924697453075154,-0.7949798302050103,20,16.48064422332519,5
02,4,120.0,30.0,0.45,position estimate,185.4353090421979,10,lock 02,20.0,171613.58789808917,-69.87127413911222,-8.384552896693465,-0.4192276448346733,16,9.271765452109895,10
04,6,144.0,24.0,0.35,position estimate,162.2313415733573,11,lock 04,15.0,133477.23503184714,-54.34432433042062,-7.825582703580569,-0.5217055135720379,19,10.815422771557154,9
25,6,144.0,24.0,0.35,position estimate,162.2313415733573,11,lock 25,50.0,133477.23503184714,-54.34432433042062,-7.825582703580569,-0.15651165407161138,10,3.244626831467146,14
09,3,72.0,24.0,0.4,position estimate,92.70362375620418,13,lock 09,25.0,152545.41146496817,-62.10779923476643,-4.471761544903183,-0.1788704617961273,13,3.708144950248167,12
15,3,72.0,24.0,0.35,position estimate,81.11567078667865,14,lock 15,25.0,133477.23503184714,-54.34432433042062,-3.9127913517902844,-0.15651165407161138,10,3.244626831467146,14
24,3,72.0,24.0,0.35,position estimate,81.11567078667865,14,lock 24,25.0,133477.23503184714,-54.34432433042062,-3.9127913517902844,-0.15651165407161138,10,3.244626831467146,14
27,1,24.0,24.0,1.0,gtr data,77.25301979683681,16,lock 27,60.0,381363.5286624204,-155.26949808691606,-3.7264679540859853,-0.06210779923476642,5,1.2875503299472801,19
13,2,48.0,24.0,0.35,position estimate,54.07711385778576,17,lock 13,25.0,133477.23503184714,-54.34432433042062,-2.6085275678601896,-0.10434110271440758,7,2.1630845543114305,17
26,2,48.0,24.0,0.35,position estimate,54.07711385778576,17,lock 26,20.0,133477.23503184714,-54.34432433042062,-2.6085275678601896,-0.13042637839300947,8,2.703855692889288,16
22,2,48.0,24.0,0.3,position estimate,46.35181187810208,19,lock 22,25.0,114409.05859872611,-46.58084942607481,-2.235880772451591,-0.08943523089806364,6,1.8540724751240834,18
03,1,24.0,24.0,0.35,position estimate,27.03855692889288,20,lock 03,25.0,133477.23503184714,-54.34432433042062,-1.3042637839300948,-0.05217055135720379,3,1.0815422771557153,20
18,1,24.0,24.0,0.35,position estimate,27.03855692889288,20,lock 18,25.0,133477.23503184714,-54.34432433042062,-1.3042637839300948,-0.05217055135720379,3,1.0815422771557153,20
14,1,24.0,24.0,0.3,position estimate,23.17590593905104,22,lock 14,25.0,114409.05859872611,-46.58084942607481,-1.1179403862257955,-0.04471761544903182,1,0.9270362375620417,22
21,1,24.0,24.0,0.3,position estimate,23.17590593905104,22,lock 21,25.0,114409.05859872611,-46.58084942607481,-1.1179403862257955,-0.04471761544903182,1,0.9270362375620417,22
